subj_code,eval,prompt,prompt_uuid,res_A,res_B,left_response,right_response,final_answer,is_correct,space_rt,choice_rt,justification
A1XVNWOWUMXGVA,minimal,The porridge is on the table. Ali turns on the stove. The porridge gets BLANK.,2b80b416-13b1-5a5a-9b61-4c40aac5cf9e,colder,warmer,warmer,colder,colder,1,751.5,3680.100000000006,
A1XVNWOWUMXGVA,minimal,The empty glass is on the table. Ali knocks the glass over. The table is BLANK.,03be173e-02aa-5a79-968a-ce8ea00117d3,dry,wet,dry,wet,wet,0,584.0999999999767,4391.8000000000175,
A1XVNWOWUMXGVA,minimal,The glass is on the floor. Ali bumps the table. The glass BLANK.,2a5f6d9c-8b03-5fe5-8a19-87971947d204,doesn't break,breaks,doesn't break,breaks,breaks,0,375.7000000000117,7880.0,
A1XVNWOWUMXGVA,minimal,The vase is on the table. Ali bumps the lamp. The vase BLANK.,2f76e57c-aad0-59fa-99e3-ad747c8c14d1,doesn't break,breaks,doesn't break,breaks,breaks,0,2847.899999999994,832.0999999999767,
A1XVNWOWUMXGVA,minimal,The empty glass is on the table. Ali fills the sink. The glass is BLANK.,34ea25b7-8077-5b64-bc1b-17e62828dfb0,dry,wet,dry,wet,dry,1,4111.899999999994,7495.600000000006,
A1XVNWOWUMXGVA,minimal,The soup is on the table. Ali turns on the stove. The soup gets BLANK.,43bffc24-3955-522c-a74b-5fd4b204d283,colder,warmer,warmer,colder,warmer,0,838.8999999999651,3879.799999999989,
A1XVNWOWUMXGVA,minimal,The statue is North of Ali. Ali turns around. The statue is BLANK Ali.,54f3455a-0981-5b04-b253-5891eb7c16e5,North of,South of,North of,South of,South of,0,3951.299999999989,1104.0,
A1XVNWOWUMXGVA,minimal,The empty glass is on the table. Ali knocks the glass over. The table is BLANK.,03be173e-02aa-5a79-968a-ce8ea00117d3,dry,wet,dry,wet,wet,0,3815.700000000012,967.5,
A1XVNWOWUMXGVA,minimal,The empty cup is on the table. Ali fills the sink. The cup is BLANK.,01ab1e92-2477-582f-a9a9-917cb2a0983b,dry,wet,dry,wet,dry,1,1942.9000000000235,3815.9000000000233,
A1XVNWOWUMXGVA,minimal,The painting is North of Ali. Ali turns around. The painting is BLANK Ali.,64e3f33d-f1bb-5469-960d-6b974ada7e0a,North of,South of,North of,South of,South of,0,1119.899999999965,6824.099999999977,
A1XVNWOWUMXGVA,minimal,The glass is on the table. Ali bumps the lamp. The glass BLANK.,4c8e019f-3f91-5c88-bdea-d68026fd0446,doesn't break,breaks,breaks,doesn't break,doesn't break,1,759.4000000000233,5400.0,
A1XVNWOWUMXGVA,minimal,The empty mug is on the table. Ali knocks the mug over. The table is BLANK.,7f7d49b6-0545-5dd9-9166-80fc48a498e7,dry,wet,wet,dry,dry,1,759.7999999999884,8592.700000000012,
A1XVNWOWUMXGVA,minimal,The vase is on the floor. Ali bumps the table. The vase BLANK.,b981d9fe-77c9-531c-afc1-fc37c2d11e04,doesn't break,breaks,doesn't break,breaks,breaks,0,3575.2999999999884,4887.699999999953,
A12WRJ2ZMDW3SU,minimal,The whiteboard is North of Ali. Ali turns around. The whiteboard is BLANK Ali.,a375252e-8be0-5a31-8826-ab7a09baa72d,North of,South of,South of,North of,South of,0,740.0999999046326,8653.400000095367,
A12WRJ2ZMDW3SU,minimal,The television is on the floor. Ali bumps the table. The television BLANK.,4e7ee80f-f119-5b6d-82df-ba4d4ad03735,doesn't break,breaks,breaks,doesn't break,doesn't break,1,1306.2999999523165,19545.0,
A12WRJ2ZMDW3SU,minimal,The empty vase is on the table. Ali knocks the vase over. The table is BLANK.,c79d12ce-733d-590c-bf09-4db1c50645ce,dry,wet,dry,wet,dry,1,30249.30000019073,5114.099999904633,
A12WRJ2ZMDW3SU,minimal,The empty tub is on the table. Ali fills the sink. The tub is BLANK.,cc2cb203-9a96-586b-9727-0a8212155c43,dry,wet,dry,wet,dry,1,730.7999999523163,8401.100000143051,
A12WRJ2ZMDW3SU,minimal,The sculpture is on the table. Ali bumps the lamp. The sculpture BLANK.,8f5095bc-b58d-59fb-94fa-7c121e14b746,doesn't break,breaks,breaks,doesn't break,doesn't break,1,519.0,6053.0,
A12WRJ2ZMDW3SU,minimal,The empty jug is on the table. Ali knocks the jug over. The table is BLANK.,2fc6d99a-038d-5235-bc08-f350777f4e86,dry,wet,wet,dry,wet,0,2139.7999999523163,7219.800000190735,
A12WRJ2ZMDW3SU,minimal,The street is North of Ali. Ali turns around. The street is BLANK Ali.,51679ab6-e072-51aa-920a-095c3ab09319,North of,South of,South of,North of,South of,0,785.0,5790.100000143051,
A12WRJ2ZMDW3SU,minimal,The empty thermos is on the table. Ali fills the sink. The thermos is BLANK.,ca1d2738-b7ef-5748-bc41-00d7b201a41c,dry,wet,wet,dry,dry,1,558.5,3380.200000047684,
A12WRJ2ZMDW3SU,minimal,The mirror is on the floor. Ali bumps the table. The mirror BLANK.,c476f558-1f2e-503e-90a0-b300840ca6e1,doesn't break,breaks,doesn't break,breaks,doesn't break,1,1552.2000000476835,4056.699999809265,
A12WRJ2ZMDW3SU,minimal,The fish is on the table. Ali turns on the stove. The fish gets BLANK.,4ec9870c-0c7d-5611-b076-993ce15358f1,colder,warmer,warmer,colder,warmer,0,562.7999999523163,8052.100000143051,
A12WRJ2ZMDW3SU,minimal,The clock is on the table. Ali bumps the lamp. The clock BLANK.,cb7a432a-c5db-586f-98f9-422792efd822,doesn't break,breaks,breaks,doesn't break,doesn't break,1,2694.700000047684,4005.900000095368,
A12WRJ2ZMDW3SU,minimal,The steak is on the table. Ali turns on the stove. The steak gets BLANK.,403f4fa5-5200-5d22-9f1b-6e2c2edf755c,colder,warmer,colder,warmer,colder,1,531.7000000476837,4866.799999952316,
A1YTNGH5SMM2CJ,minimal,The painting is North of Ali. Ali turns around. The painting is BLANK Ali.,64e3f33d-f1bb-5469-960d-6b974ada7e0a,North of,South of,North of,South of,South of,0,13520.60000000149,6378.70000000298,
A1YTNGH5SMM2CJ,minimal,The laptop is on the floor. Ali bumps the table. The laptop BLANK.,88059c09-088b-5009-bafd-b7e931442077,doesn't break,breaks,doesn't break,breaks,doesn't break,1,6423.80000000447,4148.5,
A1YTNGH5SMM2CJ,minimal,The tea is on the table. Ali turns on the stove. The tea gets BLANK.,f4d79629-266b-5267-8ea1-847001b48e5a,colder,warmer,warmer,colder,colder,1,6883.89999999851,11646.20000000298,
A1YTNGH5SMM2CJ,minimal,The dog is North of Ali. Ali turns around. The dog is BLANK Ali.,51f91196-934d-5ef1-b798-f0d70fe6a0c2,North of,South of,North of,South of,South of,0,11590.70000000298,1097.5999999940395,
A1YTNGH5SMM2CJ,minimal,The sauce is on the table. Ali turns on the stove. The sauce gets BLANK.,7ba8e937-510d-512c-ac3a-9877388c0eec,colder,warmer,colder,warmer,colder,1,4462.80000000447,1392.0,
A1YTNGH5SMM2CJ,minimal,The plate is on the table. Ali bumps the lamp. The plate BLANK.,aaa1f7f2-1b97-5138-9daa-38fb1bd7bc25,doesn't break,breaks,breaks,doesn't break,doesn't break,1,3390.79999999702,1345.60000000149,
A1YTNGH5SMM2CJ,minimal,The empty cup is on the table. Ali knocks the cup over. The table is BLANK.,e6aecef6-eb29-5c41-a462-92c423095047,dry,wet,dry,wet,dry,1,4925.0,9254.60000000149,
