subj_code,eval,session,prompt,prompt_uuid,res_A,res_B,left_response,right_response,final_answer,is_correct,space_rt,choice_rt,justification,prompt_type,category
A195MOXRMNHRVT,retest,1,The box is in the bin. Ali moves the box. The bin BLANK.,ba5435e7-cc12-557d-be71-b241947e2f6c,doesn't move,moves,moves,doesn't move,moves,0,2949.600000023842,2088.399999976158,,target,action_nonfollows
A195MOXRMNHRVT,retest,1,The wagon is on the BLANK of the hill. Ali pushes the wagon. The wagon rolls.,96c0978e-4433-5d7f-b561-cee41daa8875,top,bottom,top,bottom,top,1,1571.0999999940395,1844.9000000059605,,context,action_follows
A195MOXRMNHRVT,retest,1,The ball is BLANK the box. The ball moves right. The ball is lower than the box.,f7886140-c3a9-5bb0-9dc4-99612c3e3180,under,above,under,above,under,1,3002.399999976158,13197.90000000596,,context,action_nonfollows
A195MOXRMNHRVT,retest,1,The box is floating in the water. Ali puts a tennis ball in the box. The box BLANK.,15a162c3-7638-5144-a4a3-f9a13b33f485,floats,sinks,sinks,floats,floats,1,3291.0999999940395,2757.699999988079,,target,action_nonfollows
A195MOXRMNHRVT,retest,1,Chicago is BLANK Ali. Ali turns right. Chicago is left of Ali.,27c72cf7-5d80-526d-9ace-d6625063dfe0,in front of,behind,behind,in front of,in front of,1,2127.0999999940395,9847.100000023842,,context,egocentric_distant
A195MOXRMNHRVT,retest,1,Ali is facing away from Chicago. Ali turns left. Chicago is BLANK Ali.,9f9092b3-4ed3-5b54-92bb-a68e83301300,left of,right of,left of,right of,right of,0,4539.199999988079,8772.200000017881,,target,egocentric_distant
A195MOXRMNHRVT,retest,1,The glass and the cup are on the table. Ali pushes the BLANK off the table. The glass doesn't break.,88e4c11a-0766-534e-843f-4d59c387d497,cup,glass,glass,cup,cup,1,5267.9000000059605,2958.5,,context,state_nonfollows
A195MOXRMNHRVT,retest,1,The box is close to Ali. Ali throws the ball. The box is BLANK Ali.,27bc3da0-29e8-5aff-8cdc-aebfdecd2412,close to,far from,close to,far from,close to,1,2769.2000000178814,5034.700000017881,,target,action_nonfollows
A195MOXRMNHRVT,retest,1,Ali is BLANK painting. Ali turns around. Ali is behind the painting.,d91e34a1-58ec-5efe-bd1d-3da56dfe0d5c,behind,in front of,behind,in front of,in front of,0,2825.199999988079,9144.40000000596,,context,egocentric_near
A195MOXRMNHRVT,retest,1,The book is on the table. Ali moves the table. The book BLANK.,bf93e811-9a49-58b7-b6dc-6a47ece87d9f,moves,doesn't move,moves,doesn't move,moves,1,2699.7999999821186,6584.699999988079,,target,action_follows
